study_id,ecosystem_veg,N addition,addition simplify,Fertilizer type,Fertilizer type simplify,Duration_days,Duration simplify,Species,Needle_broadleaf,C3_C4,Legume_non-legume,Deciduous_evergreen,Organ,Organ simplify 1,Organ simplify 2,1,15N of fertilizer,2,NA,mean_trt,mean_ctrl,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,HedagesD,Vd,VdN,w,d
2,Tree,111.176,100-200,Urea,urea,6205, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,9.183,0,-9.183,NA,5.756,-3.427,1.02,0.829,3,3,60,0.8,0.9297,7.9021,5.8702,352.2147,0.0028,0.0224
2,Tree,110,100-200,Urea,urea,6570, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,9.21,0,-9.21,NA,5.648,-3.562,1.02,0.829,3,3,60,0.8,0.9297,7.9254,5.901,354.0595,0.0028,0.0224
2,Tree,108.947,100-200,Urea,urea,6935, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,8.668,0,-8.668,NA,5.512,-3.156,1.02,0.829,3,3,60,0.8,0.9297,7.4592,5.3033,318.1981,0.0031,0.0234
2,Tree,108,100-200,Urea,urea,7300, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,9.481,0,-9.481,NA,5.269,-4.212,1.02,0.829,3,3,60,0.8,0.9297,8.1585,6.2134,372.8045,0.0027,0.0219
4,Tree,60,< 100,Mixed,mixed,40,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,leaf,leaf,above ground,0.26,NA,NA,NA,-2.75,-3.01,0.22,0.18,4,4,6,0.8696,0.201,1.1248,0.5791,3.4745,0.2878,0.3237
4,Tree,120,100-200,Mixed,mixed,40,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,leaf,leaf,above ground,0.25,NA,NA,NA,-2.76,-3.01,0.22,0.22,4,4,6,0.8696,0.22,0.9881,0.561,3.3662,0.2971,0.2936
4,Tree,60,< 100,Mixed,mixed,40,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,mesocarp,fruit,above ground,-0.07,NA,NA,NA,-0.56,-0.49,0.22,0.2,4,4,6,0.8696,0.2102,-0.2895,0.5052,3.0314,0.3299,-0.0955
4,Tree,120,100-200,Mixed,mixed,40,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,mesocarp,fruit,above ground,0.21,NA,NA,NA,-0.28,-0.49,0.18,0.2,4,4,6,0.8696,0.1903,0.9598,0.5576,3.3454,0.2989,0.2869
4,Tree,60,< 100,Mixed,mixed,40,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,endocarp,fruit,above ground,0,NA,NA,NA,-0.49,-0.49,0.26,0.22,4,4,6,0.8696,0.2408,0,0.5,3,0.3333,0
4,Tree,120,100-200,Mixed,mixed,40,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,endocarp,fruit,above ground,-0.1,NA,NA,NA,-0.59,-0.49,0.18,0.22,4,4,6,0.8696,0.201,-0.4326,0.5117,3.0702,0.3257,-0.1409
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Maytenus senegalensis,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-3.074,-2.47,0.604,NA,4.157,7.231,1.02,0.829,3,3,18,0.8,0.9297,-2.6453,1.2498,22.4968,0.0445,-0.1176
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Maytenus senegalensis,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-1.629,-2.47,-0.841,NA,2.488,4.116,1.02,0.829,3,3,18,0.8,0.9297,-1.4015,0.8304,14.9463,0.0669,-0.0938
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Maytenus senegalensis,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-2.647,-2.47,0.177,NA,1.307,3.954,1.02,0.829,3,3,18,0.8,0.9297,-2.2775,1.0989,19.7802,0.0506,-0.1151
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Maytenus heterophylla,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-4.438,-2.47,1.968,NA,3.709,8.147,1.02,0.829,3,3,18,0.8,0.9297,-3.8191,1.8821,33.8784,0.0295,-0.1127
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Maytenus heterophylla,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-1.588,-2.47,-0.882,NA,1.205,2.793,1.02,0.829,3,3,18,0.8,0.9297,-1.3665,0.8223,14.8009,0.0676,-0.0923
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Maytenus heterophylla,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-2.647,-2.47,0.177,NA,0.594,3.241,1.02,0.829,3,3,18,0.8,0.9297,-2.2774,1.0989,19.7802,0.0506,-0.1151
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Euclea divinorum,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-3.909,-2.47,1.439,NA,1.226,5.134,1.02,0.829,3,3,18,0.8,0.9297,-3.3636,1.6095,28.9709,0.0345,-0.1161
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Euclea divinorum,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.891,-2.47,0.421,NA,0.391,3.282,1.02,0.829,3,3,18,0.8,0.9297,-2.4877,1.1824,21.2828,0.047,-0.1169
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Euclea divinorum,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.117,-2.47,-0.353,NA,0.208,2.325,1.02,0.829,3,3,18,0.8,0.9297,-1.822,0.9433,16.9793,0.0589,-0.1073
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Ziziphus mucronata,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-3.461,-2.47,0.991,NA,2.447,5.908,1.02,0.829,3,3,18,0.8,0.9297,-2.9782,1.4058,25.3046,0.0395,-0.1177
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Ziziphus mucronata,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-1.344,-2.47,-1.126,NA,1.409,2.752,1.02,0.829,3,3,18,0.8,0.9297,-1.1562,0.7781,14.0054,0.0714,-0.0826
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Ziziphus mucronata,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-2.891,-2.47,0.421,NA,-0.688,2.203,1.02,0.829,3,3,18,0.8,0.9297,-2.4877,1.1824,21.2828,0.047,-0.1169
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Schotia brachypetala,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-3.603,-2.47,1.133,NA,1.673,5.277,1.02,0.829,3,3,18,0.8,0.9297,-3.1008,1.4679,26.4228,0.0378,-0.1174
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Schotia brachypetala,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-3.664,-2.47,1.194,NA,0.676,4.34,1.02,0.829,3,3,18,0.8,0.9297,-3.1534,1.4953,26.9158,0.0372,-0.1172
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Schotia brachypetala,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-5.008,-2.47,2.538,NA,-0.403,4.605,1.02,0.829,3,3,18,0.8,0.9297,-4.3096,2.2144,39.8595,0.0251,-0.1081
6,Tree,237,>= 200,NA,NA,231,< 3 yr,Acacia karroo (legume),broadleaf,C3,N-fixing,deciduous,leaf,leaf,above ground,-3.074,-2.47,0.604,NA,4.239,7.313,1.02,0.829,3,3,18,0.8,0.9297,-2.6453,1.2498,22.4968,0.0445,-0.1176
